Fecha;BML - América;BML - Asia;BML - Europa;BML - Total;COMEX - Total;SHFE - Total
02-01-2017;100.400;197.750;24.075;322.225;80.112;146.598
03-01-2017;98.875;190.200;22.750;311.825;80.651;146.598
04-01-2017;98.875;185.100;21.900;305.875;81.407;146.598
05-01-2017;99.675;180.200;21.900;301.775;81.994;171.561
06-01-2017;98.100;175.225;21.800;295.125;82.839;171.561
09-01-2017;98.050;175.425;21.425;294.900;83.112;171.561
10-01-2017;98.375;172.650;22.375;293.400;84.051;171.561
11-01-2017;97.775;168.025;22.425;288.225;84.742;171.561
12-01-2017;98.700;164.475;22.525;285.700;85.146;170.797
13-01-2017;97.300;161.650;22.750;281.700;85.795;170.797
16-01-2017;96.175;159.825;23.000;279.000;85.795;170.797
17-01-2017;98.300;155.975;23.100;277.375;86.067;170.797
18-01-2017;98.250;154.500;23.300;276.050;87.122;170.797
19-01-2017;98.100;152.475;23.525;274.100;87.485;172.979
20-01-2017;96.850;154.775;23.775;275.400;88.047;172.979
23-01-2017;96.500;154.250;23.900;274.650;88.489;172.979
24-01-2017;95.675;152.275;24.200;272.150;89.142;172.979
25-01-2017;97.225;149.675;24.125;271.025;89.505;172.979
26-01-2017;96.750;147.950;24.275;268.975;90.163;212.925
27-01-2017;95.800;143.650;24.325;263.775;90.719;212.925
30-01-2017;95.000;143.025;24.125;262.150;91.054;212.925
31-01-2017;94.175;143.025;24.125;261.325;92.598;212.925
01-02-2017;95.725;143.025;22.100;260.850;93.232;212.925
02-02-2017;95.300;141.525;22.675;259.500;93.766;223.853
03-02-2017;94.225;140.525;22.400;257.150;95.065;223.853
06-02-2017;92.850;139.425;21.450;253.725;95.879;223.853
07-02-2017;92.600;138.050;22.800;253.450;96.730;223.853
08-02-2017;92.575;137.725;24.425;254.725;97.287;223.853
09-02-2017;92.125;135.175;24.225;251.525;98.401;277.659
10-02-2017;91.375;132.900;23.925;248.200;99.081;277.659
13-02-2017;90.950;131.425;25.450;247.825;99.750;277.659
14-02-2017;90.075;128.100;25.175;243.350;101.496;277.659
15-02-2017;88.375;122.925;24.525;235.825;103.121;277.659
16-02-2017;90.475;121.900;24.350;236.725;104.448;295.730
17-02-2017;89.050;116.650;23.375;229.075;104.891;295.730
20-02-2017;88.250;112.500;23.275;224.025;104.891;295.730
21-02-2017;87.150;111.000;23.275;221.425;107.293;295.730
22-02-2017;86.425;109.850;23.150;219.425;109.877;295.730
23-02-2017;85.325;106.350;22.350;214.025;110.958;289.899
24-02-2017;83.450;105.250;22.100;210.800;111.976;289.899
27-02-2017;81.900;103.250;21.725;206.875;112.557;289.899
28-02-2017;80.225;101.500;21.375;203.100;114.168;289.899
01-03-2017;79.575;99.875;21.275;200.725;114.522;289.899
02-03-2017;79.300;99.575;21.125;200.000;114.968;313.873
03-03-2017;77.975;99.875;18.575;196.425;115.989;313.873
06-03-2017;79.550;135.425;20.275;235.250;116.404;313.873
07-03-2017;77.575;161.175;23.225;261.975;117.463;313.873
08-03-2017;76.275;185.075;27.175;288.525;118.655;313.873
09-03-2017;74.350;220.725;32.225;327.300;120.400;326.732
10-03-2017;72.675;220.725;32.100;325.500;121.153;326.732
13-03-2017;74.925;224.425;31.850;331.200;121.536;326.732
14-03-2017;73.900;224.375;33.775;332.050;121.906;326.732
15-03-2017;73.050;231.825;35.650;340.525;122.471;326.732
16-03-2017;72.350;231.375;35.300;339.025;123.093;325.278
17-03-2017;71.525;231.225;34.850;337.600;123.649;325.278
20-03-2017;70.700;228.100;34.175;332.975;124.133;325.278
21-03-2017;69.900;226.475;33.475;329.850;125.084;325.278
22-03-2017;69.200;221.375;33.400;323.975;125.850;325.278
23-03-2017;68.525;216.250;32.325;317.100;126.238;312.584
24-03-2017;69.850;210.550;32.125;312.525;126.841;312.584
27-03-2017;74.075;205.450;31.850;311.375;127.499;312.584
28-03-2017;73.550;203.825;31.850;309.225;127.855;312.584
29-03-2017;72.300;200.250;31.725;304.275;128.042;312.584
30-03-2017;70.150;196.125;31.275;297.550;129.400;307.376
31-03-2017;68.400;191.700;31.075;291.175;130.068;307.376
03-04-2017;67.150;185.675;31.075;283.900;130.744;307.376
04-04-2017;65.925;182.975;30.975;279.875;131.330;307.376
05-04-2017;64.850;178.150;30.750;273.750;131.413;307.376
06-04-2017;64.100;175.825;30.625;270.550;131.908;314.810
07-04-2017;62.725;172.100;30.500;265.325;132.557;314.810
10-04-2017;68.075;168.050;30.450;266.575;132.949;314.810
11-04-2017;66.500;162.875;30.300;259.675;133.464;314.810
12-04-2017;66.100;159.700;33.025;258.825;133.770;314.810
13-04-2017;65.250;158.475;33.475;257.200;134.780;271.267
14-04-2017;65.250;158.475;33.475;257.200;134.780;271.267
17-04-2017;65.250;158.475;33.475;257.200;135.791;271.267
18-04-2017;64.200;157.775;33.450;255.425;137.268;271.267
19-04-2017;62.600;171.550;33.325;267.475;138.493;271.267
20-04-2017;62.225;172.925;33.300;268.450;139.673;240.191
21-04-2017;60.750;174.375;33.275;268.400;140.436;240.191
24-04-2017;58.800;172.825;33.225;264.850;140.479;240.191
25-04-2017;57.950;171.125;33.175;262.250;140.490;240.191
26-04-2017;57.525;170.825;33.125;261.475;140.592;240.191
27-04-2017;56.525;170.950;33.100;260.575;140.736;229.361
28-04-2017;55.975;170.650;33.100;259.725;140.840;229.361
01-05-2017;55.975;170.650;33.100;259.725;140.881;229.361
02-05-2017;54.725;165.975;32.975;253.675;140.922;229.361
03-05-2017;52.700;184.300;47.925;284.925;140.972;229.361
04-05-2017;51.800;218.325;47.725;317.850;140.830;215.231
05-05-2017;50.850;253.750;50.050;354.650;140.672;215.231
08-05-2017;49.900;251.825;49.825;351.550;140.400;215.231
09-05-2017;48.800;244.325;49.700;342.825;140.395;215.231
10-05-2017;47.050;242.600;49.550;339.200;140.186;215.231
11-05-2017;46.550;240.825;49.350;336.725;140.197;194.993
12-05-2017;45.500;234.800;49.075;329.375;139.994;194.993
15-05-2017;44.025;232.225;48.900;325.150;139.949;194.993
16-05-2017;43.325;230.450;48.725;322.500;140.005;194.993
17-05-2017;42.700;241.550;55.350;339.600;139.939;194.993
18-05-2017;41.300;244.025;55.025;340.350;140.711;196.358
19-05-2017;39.975;241.850;54.825;336.650;141.521;196.358
22-05-2017;38.975;238.675;54.650;332.300;142.011;196.358
23-05-2017;37.600;237.850;54.425;329.875;142.277;196.358
24-05-2017;36.225;235.500;53.950;325.675;142.706;196.358
25-05-2017;35.100;232.600;53.875;321.575;142.763;198.585
26-05-2017;35.425;229.425;53.800;318.650;142.731;198.585
29-05-2017;35.425;229.425;53.800;318.650;142.731;198.585
30-05-2017;34.675;226.825;53.700;315.200;143.095;198.585
31-05-2017;33.250;224.575;53.325;311.150;143.264;198.585
01-06-2017;31.900;222.975;53.125;308.000;143.458;208.239
02-06-2017;30.850;221.800;52.900;305.550;143.603;208.239
05-06-2017;30.300;219.750;52.575;302.625;143.992;208.239
06-06-2017;29.400;217.650;52.525;299.575;144.424;208.239
07-06-2017;28.025;213.725;52.475;294.225;144.623;208.239
08-06-2017;27.500;206.550;52.300;286.350;145.420;190.262
09-06-2017;26.750;197.925;52.200;276.875;145.887;190.262
12-06-2017;34.225;193.225;52.125;279.575;146.281;190.262
13-06-2017;34.100;189.625;52.125;275.850;146.697;190.262
14-06-2017;33.650;186.950;52.025;272.625;146.990;190.262
15-06-2017;33.025;183.575;51.900;268.500;147.082;199.014
16-06-2017;32.475;184.075;51.900;268.450;147.098;199.014
19-06-2017;31.625;181.650;51.900;265.175;147.038;199.014
20-06-2017;31.000;178.675;52.400;262.075;147.109;199.014
21-06-2017;30.400;175.300;53.600;259.300;147.206;199.014
22-06-2017;29.925;173.225;53.550;256.700;147.263;185.281
23-06-2017;29.525;175.625;53.550;258.700;147.275;185.281
26-06-2017;29.000;172.175;53.500;254.675;147.330;185.281
27-06-2017;28.450;168.800;53.300;250.550;147.349;185.281
28-06-2017;28.000;168.025;52.650;248.675;147.449;185.281
29-06-2017;27.350;164.125;51.825;243.300;147.563;176.620
30-06-2017;31.625;163.625;54.450;249.700;147.720;176.620
03-07-2017;31.000;182.925;64.350;278.275;147.936;176.620
04-07-2017;30.100;181.925;63.575;275.600;147.936;176.620
05-07-2017;29.525;219.800;66.600;315.925;148.145;176.620
06-07-2017;29.450;218.775;66.550;314.775;148.145;182.804
07-07-2017;29.325;219.200;66.550;315.075;148.136;182.804
10-07-2017;34.075;219.350;66.550;319.975;148.945;182.804
11-07-2017;33.400;219.400;66.950;319.750;149.636;182.804
12-07-2017;32.625;219.050;66.875;318.550;150.172;182.804
13-07-2017;33.125;218.300;66.800;318.225;150.233;181.632
14-07-2017;32.425;214.225;66.650;313.300;150.275;181.632
17-07-2017;32.150;210.650;66.325;309.125;151.145;181.632
18-07-2017;31.250;210.000;66.025;307.275;151.882;181.632
19-07-2017;33.725;209.400;66.125;309.250;152.359;181.632
20-07-2017;33.075;208.900;66.075;308.050;152.629;172.774
21-07-2017;32.150;208.400;66.075;306.625;153.085;172.774
24-07-2017;31.400;208.400;66.075;305.875;153.842;172.774
25-07-2017;30.875;207.900;66.075;304.850;154.290;172.774
26-07-2017;29.825;207.350;66.075;303.250;154.289;172.774
27-07-2017;28.700;207.350;66.075;302.125;154.718;178.783
28-07-2017;27.825;206.700;66.050;300.575;155.119;178.783
31-07-2017;26.625;204.500;65.850;296.975;155.413;178.783
01-08-2017;25.750;203.925;65.850;295.525;155.954;178.783
02-08-2017;31.475;203.925;65.700;301.100;156.196;178.783
03-08-2017;30.575;203.275;65.575;299.425;156.766;190.715
04-08-2017;29.675;203.050;65.500;298.225;157.257;190.715
07-08-2017;28.700;202.650;65.350;296.700;157.620;190.715
08-08-2017;28.050;200.550;65.350;293.950;157.549;190.715
09-08-2017;27.475;196.250;65.200;288.925;157.581;190.715
10-08-2017;27.225;195.750;65.075;288.050;158.713;207.777
11-08-2017;26.800;191.800;65.075;283.675;159.898;207.777
14-08-2017;31.325;186.425;65.575;283.325;160.329;207.777
15-08-2017;30.900;183.500;66.575;280.975;161.405;207.777
16-08-2017;30.650;182.900;65.450;279.000;161.967;207.777
17-08-2017;30.275;181.200;64.325;275.800;162.555;204.090
18-08-2017;29.950;177.700;63.700;271.350;162.930;204.090
21-08-2017;29.450;168.975;63.275;261.700;163.157;204.090
22-08-2017;29.100;163.925;62.675;255.700;163.403;204.090
23-08-2017;28.675;158.875;61.975;249.525;163.419;204.090
24-08-2017;28.375;155.350;61.325;245.050;163.651;187.444
25-08-2017;28.050;152.225;60.550;240.825;163.636;187.444
28-08-2017;28.050;152.225;60.550;240.825;164.266;187.444
29-08-2017;27.750;146.350;58.925;233.025;164.803;187.444
30-08-2017;26.750;138.075;58.225;223.050;164.586;187.444
31-08-2017;36.050;134.100;58.300;228.450;165.041;183.582
01-09-2017;35.850;130.050;57.600;223.500;165.947;183.582
04-09-2017;35.400;128.550;56.925;220.875;165.947;183.582
05-09-2017;34.625;127.050;55.875;217.550;166.924;183.582
06-09-2017;34.600;125.650;54.525;214.775;168.313;183.582
07-09-2017;33.650;123.900;53.175;210.725;169.454;172.847
08-09-2017;33.025;127.450;52.700;213.175;170.185;172.847
11-09-2017;31.925;123.975;52.525;208.425;0;172.847
12-09-2017;31.150;128.300;59.275;218.725;0;172.847
13-09-2017;30.550;129.150;86.875;246.575;0;172.847
14-09-2017;30.150;158.025;87.850;276.025;0;172.847
15-09-2017;29.700;183.075;91.575;304.350;0;166.747
18-09-2017;29.625;181.825;91.475;302.925;174.255;166.747
19-09-2017;29.600;179.975;91.050;300.625;0;166.747
20-09-2017;30.350;192.575;90.925;313.850;0;480.597
21-09-2017;31.050;189.275;90.925;311.250;174.992;141.318
22-09-2017;31.825;186.400;90.825;309.050;175.522;141.318
25-09-2017;31.525;182.900;90.825;305.250;0;141.318
26-09-2017;31.425;182.900;90.825;305.150;175.954;141.318
27-09-2017;31.725;179.950;90.275;301.950;176.044;141.318
28-09-2017;31.550;177.325;89.550;298.425;176.612;103.151
29-09-2017;31.550;176.925;88.775;297.250;177.348;103.151
02-10-2017;31.300;176.825;87.375;295.500;177.999;103.151
03-10-2017;30.475;185.250;86.325;302.050;179.471;103.151
04-10-2017;29.325;184.450;84.750;298.525;179.471;103.151
05-10-2017;28.625;184.050;83.400;296.075;180.963;103.151
06-10-2017;28.250;182.900;82.300;293.450;181.378;103.151
