FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
010101;0000;;;;
010102;0000;;;;
010103;0000;;;;
010104;0000;;;;
010105;0000;;;;
010106;0000;;;;
010107;0000;;;;
010108;0000;;;;
010109;0000;;;;
010110;0000;;;;
010111;0000;;;;
010112;0000;;;;
010113;0000;;;;
010114;0000;;;;
010115;0000;;;;
010116;0000;;;;
010117;0000;;;;
010118;0000;;;;
010119;0000;;;;
010120;0000;;;;
010121;0000;;;;
010122;0000;;;;
010123;0000;;;;
010124;0000;;;;
010125;0000;;;;
010126;0000;;;;
010127;0000;;;;
010128;0000;;;;
010129;0000;;;;
010130;0000;;;;
010131;0000;;;;
010201;0000;;;;
010202;0000;;;;
010203;0000;;;;
010204;0000;;;;
010205;0000;;;;
010206;0000;;;;
010207;0000;;;;
010208;0000;;;;
010209;0000;;;;
010210;0000;;;;
010211;0000;;;;
010212;0000;;;;
010213;0000;;;;
010214;0000;;;;
010215;0000;;;;
010216;0000;;;;
010217;0000;;;;
010218;0000;;;;
010219;0000;;;;
010220;0000;;;;
010221;0000;;;;
010222;0000;;;;
010223;0000;;;;
010224;0000;;;;
010225;0000;;;;
010226;0000;;;;
010227;0000;;;;
010228;0000;;;;
010301;0000;;;;
010302;0000;;;;
010303;0000;;;;
010304;0000;;;;
010305;0000;;;;
010306;0000;;;;
010307;0000;;;;
010308;0000;;;;
010309;0000;;;;
010310;0000;;;;
010311;0000;;;;
010312;0000;;;;
010313;0000;;;;
010314;0000;;;;
010315;0000;;;;
010316;0000;;;;
010317;0000;;;;
010318;0000;;;;
010319;0000;;;;
010320;0000;;;;
010321;0000;;;;
010322;0000;;;;
010323;0000;;;;
010324;0000;;;;
010325;0000;;;;
010326;0000;;;;
010327;0000;121,542;;;
010328;0000;116,375;;;
010329;0000;108,417;;;
010330;0000;79,4166;;;
010331;0000;62,0416;;;
010401;0000;90;;;
010402;0000;84,75;;;
010403;0000;76,7916;;;
010404;0000;54,6666;;;
010405;0000;115,333;;;
010406;0000;120,625;;;
010407;0000;88,6666;;;
010408;0000;106,208;;;
010409;0000;97,3333;;;
010410;0000;80,3333;;;
010411;0000;98,875;;;
010412;0000;114,083;;;
010413;0000;44,125;;;
010414;0000;80;;;
010415;0000;120,75;;;
010416;0000;62,25;;;
010417;0000;69,8333;;;
010418;0000;115,75;;;
010419;0000;127,417;;;
010420;0000;105,042;;;
010421;0000;110,333;;;
010422;0000;64,4166;;;
010423;0000;37,826;;;
010424;0000;109,625;;;
010425;0000;115,583;;;
010426;0000;75,8333;;;
010427;0000;71,5714;;;
010428;0000;41,2083;;;
010429;0000;74,3333;;;
010430;0000;65,875;;;
010501;0000;137,625;;;
010502;0000;154,083;;;
010503;0000;197,167;;;
010504;0000;159,333;;;
010505;0000;94,25;;;
010506;0000;70,375;;;
010507;0000;37,4583;;;
010508;0000;71,125;;;
010509;0000;77,7083;;;
010510;0000;65,5416;;;
010511;0000;85,125;;;
010512;0000;125,917;;;
010513;0000;103,917;;;
010514;0000;89,9166;;;
010515;0000;29,5417;;;
010516;0000;141,75;;;
010517;0000;185,375;;;
010518;0000;50,9583;;;
010519;0000;99,75;;;
010520;0000;93,25;;;
010521;0000;;;;
010522;0000;;;;
010523;0000;173,917;;;
010524;0000;84,2083;;;
010525;0000;102,292;;;
010526;0000;140,25;;;
010527;0000;88,9166;;;
010528;0000;50,5833;;;
010529;0000;19,9167;;;
010530;0000;26,3333;;;
