FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;35,5625;;;
160102;0000;28,4565;;;
160103;0000;29,7174;;;
160104;0000;37,8958;;;
160105;0000;56,4375;;;
160106;0000;49,3333;;;
160107;0000;35,3542;;;
160108;0000;29,3125;;;
160109;0000;34,0417;;;
160110;0000;33,5208;;;
160111;0000;31,6667;;;
160112;0000;;;;
160113;0000;;;;
160114;0000;;;;
160115;0000;;;;
160116;0000;48,25;;;
160117;0000;44,7292;;;
160118;0000;66,6041;;;
160119;0000;45,8958;;;
160120;0000;51,5208;;;
160121;0000;41,5833;;;
160122;0000;43,5417;;;
160123;0000;35,125;;;
160124;0000;14,9375;;;
160125;0000;29,3958;;;
160126;0000;25,8333;;;
160127;0000;35,2917;;;
160128;0000;36,5625;;;
160129;0000;33,5625;;;
160130;0000;37,9583;;;
160131;0000;38,4167;;;
160201;0000;43,9375;;;
160202;0000;39,8958;;;
160203;0000;44,7708;;;
160204;0000;36,25;;;
160205;0000;39,4167;;;
160206;0000;44,1875;;;
160207;0000;34,6458;;;
160208;0000;39,8182;;;
160209;0000;58,1042;;;
160210;0000;45,3542;;;
160211;0000;40,2083;;;
160212;0000;44,4792;;;
160213;0000;43,9583;;;
160214;0000;43,7083;;;
160215;0000;56,0208;;;
160216;0000;36,5625;;;
160217;0000;40,4792;;;
160218;0000;39,6875;;;
160219;0000;49,4091;;;
160220;0000;54,1667;;;
160221;0000;46,4375;;;
160222;0000;49,6667;;;
160223;0000;60,6458;;;
160224;0000;53,8125;;;
160225;0000;64,3125;;;
160226;0000;45,375;;;
160227;0000;59,625;;;
160228;0000;53,8333;;;
160229;0000;55,5208;;;
160301;0000;88;;;
160302;0000;74,4783;;;
160303;0000;55,3913;;;
160304;0000;57,2174;;;
160305;0000;51,5;;;
160306;0000;37,5;;;
160307;0000;34,4792;;;
160308;0000;47,2917;;;
160309;0000;64,0209;;;
160310;0000;66,125;;;
160311;0000;59,5417;;;
160312;0000;41,8958;;;
160313;0000;42,7708;;;
160314;0000;49,325;;;
160315;0000;57,9375;;;
160316;0000;66,4166;;;
160317;0000;40,3125;;;
160318;0000;59,7917;;;
160319;0000;60,4167;;;
160320;0000;52,6875;;;
160321;0000;53,5625;;;
160322;0000;71,3334;;;
160323;0000;58,9375;;;
160324;0000;68,5209;;;
160325;0000;60,5833;;;
160326;0000;65,625;;;
160327;0000;57,7083;;;
160328;0000;49,2917;;;
160329;0000;36,3333;;;
160330;0000;43,8913;;;
160331;0000;60,3958;;;
160401;0000;49,625;;;
160402;0000;;;;
160403;0000;;;;
160404;0000;;;;
160405;0000;98,0625;;;
160406;0000;50,3958;;;
160407;0000;65,75;;;
160408;0000;70,7709;;;
160409;0000;44,0625;;;
160410;0000;64,8125;;;
160411;0000;83,6957;;;
160412;0000;69;;;
160413;0000;108,762;;;
160414;0000;61,2292;;;
160415;0000;18,9792;;;
160416;0000;27,7708;;;
160417;0000;10;;;
160418;0000;;;;
160419;0000;;;;
160420;0000;63,3125;;;
160421;0000;46,5208;;;
160422;0000;75,8959;;;
160423;0000;25,4167;;;
160424;0000;10,3333;;;
160425;0000;44,4792;;;
160426;0000;114,474;;;
160427;0000;119,688;;;
160428;0000;105,833;;;
160429;0000;119,896;;;
160430;0000;144,667;;;
160501;0000;78,5834;;;
160502;0000;74,4375;;;
160503;0000;90,7916;;;
160504;0000;70,7084;;;
160505;0000;35,8125;;;
160506;0000;75,8959;;;
160507;0000;63,7917;;;
160508;0000;41,5833;;;
160509;0000;55,5833;;;
160510;0000;74,125;;;
160511;0000;54,0625;;;
160512;0000;95,0416;;;
160513;0000;112,375;;;
160514;0000;68,8334;;;
160515;0000;57,7708;;;
160516;0000;70;;;
160517;0000;46,4565;;;
160518;0000;48,0476;;;
160519;0000;82,9791;;;
160520;0000;58,4348;;;
160521;0000;52,1364;;;
160522;0000;94,3182;;;
160523;0000;86,375;;;
160524;0000;99,8959;;;
160525;0000;81,7916;;;
160526;0000;106;;;
160527;0000;77,0416;;;
160528;0000;79,3959;;;
160529;0000;46,5;;;
160530;0000;25,9167;;;
160531;0000;35,2292;;;
160601;0000;58,125;;;
160602;0000;61,0833;;;
160603;0000;25,2083;;;
160604;0000;23,6042;;;
160605;0000;47,7292;;;
160606;0000;84,875;;;
160607;0000;144;;;
160608;0000;139,083;;;
160609;0000;173,646;;;
160610;0000;141,896;;;
160611;0000;140,75;;;
160612;0000;94,4375;;;
160613;0000;48,1042;;;
160614;0000;94,8334;;;
160615;0000;96,4375;;;
160616;0000;128,604;;;
160617;0000;136,521;;;
160618;0000;169,312;;;
160619;0000;194,167;;;
160620;0000;98,0454;;;
160621;0000;98,9584;;;
160622;0000;124,438;;;
160623;0000;102,021;;;
160624;0000;87,8043;;;
160625;0000;121,938;;;
160626;0000;173,729;;;
160627;0000;171,438;;;
160628;0000;85,4584;;;
160629;0000;44,3542;;;
160630;0000;97,5209;;;
160701;0000;110,188;;;
160702;0000;54,0625;;;
160703;0000;51,4167;;;
160704;0000;76,3334;;;
160705;0000;80,3334;;;
160706;0000;130,688;;;
160707;0000;125,333;;;
160708;0000;74,0416;;;
160709;0000;128,854;;;
160710;0000;111,75;;;
160711;0000;31,4167;;;
160712;0000;;;;
160713;0000;;;;
160714;0000;26,7708;;;
160715;0000;105,521;;;
160716;0000;142,625;;;
160717;0000;111,604;;;
160718;0000;113,333;;;
160719;0000;102,667;;;
160720;0000;75,0625;;;
160721;0000;129,542;;;
160722;0000;85,6459;;;
160723;0000;105,417;;;
160724;0000;76,1875;;;
160725;0000;16,6667;;;
160726;0000;108,146;;;
160727;0000;119,667;;;
160728;0000;104,208;;;
160729;0000;82,6041;;;
160730;0000;62,2708;;;
160731;0000;45,25;;;
160801;0000;118,354;;;
160802;0000;88,5834;;;
160803;0000;87,1875;;;
160804;0000;84,375;;;
160805;0000;69,7291;;;
160806;0000;81,0209;;;
160807;0000;72,9375;;;
160808;0000;93,3125;;;
160809;0000;129,146;;;
160810;0000;98,9584;;;
160811;0000;84,4565;;;
160812;0000;106,125;;;
160813;0000;81,0834;;;
160814;0000;92,6666;;;
160815;0000;60,1304;;;
160816;0000;30,8478;;;
160817;0000;31,0435;;;
160818;0000;54,75;;;
160819;0000;51,9783;;;
160820;0000;64,0209;;;
160821;0000;81,7084;;;
160822;0000;82,5;;;
160823;0000;35,5625;;;
160824;0000;45,8125;;;
160825;0000;64,4375;;;
160826;0000;51,5833;;;
160827;0000;41,625;;;
160828;0000;33,1667;;;
160829;0000;64,5209;;;
160830;0000;67,5625;;;
160831;0000;39,6667;;;
160901;0000;44,3333;;;
160902;0000;55,75;;;
160903;0000;69,7709;;;
160904;0000;58,8542;;;
160905;0000;82,0209;;;
160906;0000;106,604;;;
160907;0000;98,9584;;;
160908;0000;84,5209;;;
160909;0000;115,854;;;
160910;0000;99,0625;;;
160911;0000;26,3958;;;
160912;0000;27,4167;;;
160913;0000;85,6459;;;
160914;0000;81,8541;;;
160915;0000;62,1458;;;
160916;0000;60,0208;;;
160917;0000;53;;;
160918;0000;107,375;;;
160919;0000;73,5652;;;
160920;0000;55,1458;;;
160921;0000;58,5952;;;
160922;0000;69,8541;;;
160923;0000;60,5417;;;
160924;0000;59,0417;;;
160925;0000;30,5625;;;
160926;0000;42,3125;;;
160927;0000;53,3542;;;
160928;0000;58,0625;;;
160929;0000;17,9167;;;
160930;0000;40,7917;;;
161001;0000;44,25;;;
161002;0000;43,8125;;;
161003;0000;39,75;;;
161004;0000;30,2708;;;
161005;0000;49,125;;;
161006;0000;61,5625;;;
161007;0000;34,1042;;;
161008;0000;50,0625;;;
161009;0000;48,2708;;;
161010;0000;34;;;
161011;0000;43,3542;;;
161012;0000;40,6667;;;
161013;0000;31,4375;;;
161014;0000;51,7708;;;
161015;0000;27,5625;;;
161016;0000;9,14583;;;
161017;0000;18,4167;;;
161018;0000;15,5417;;;
161019;0000;29,25;;;
161020;0000;42,5;;;
161021;0000;54,3333;;;
161022;0000;33,625;;;
161023;0000;24,5417;;;
161024;0000;22,6042;;;
161025;0000;33,225;;;
161026;0000;51,0208;;;
161027;0000;72,1818;;;
161028;0000;37;;;
161029;0000;46,2292;;;
161030;0000;31,5833;;;
161031;0000;24,5833;;;
161101;0000;19,1458;;;
161102;0000;33,8958;;;
161103;0000;52,0625;;;
161104;0000;45,7083;;;
161105;0000;42,4583;;;
161106;0000;33,9375;;;
161107;0000;41,8542;;;
161108;0000;38,7083;;;
161109;0000;48,7083;;;
161110;0000;50,4167;;;
161111;0000;57,0208;;;
161112;0000;50,0208;;;
161113;0000;38,4167;;;
